CardNumber,Department,postDate,transDate,Time,Merchant,DriverID,Units,UnitCost,fuelCost,nonFuelCost,GrossCost,netCost
0256 - 1,RMBEAU,10/25/2021,10/21/2021,4:32:00 PM,BP,203964,24.289,$3.75 ,$91.06 ,$0.00 ,$91.06 ,$91.06 
0100 - 1,RMMYRTLE,10/25/2021,10/21/2021,9:36:45 AM,CIRCLE K,205253,19.744,$3.20 ,$63.16 ,$0.00 ,$63.16 ,$63.16 
0133 - 1,RMMYRTLE,10/25/2021,10/21/2021,4:56:00 PM,SHELL,207523,20.35,$3.20 ,$65.11 ,($1.02),$64.09 ,$65.11 
0193 - 2,RMCHARL,10/25/2021,10/21/2021,5:29:00 PM,SHELL,203757,16.17,$3.11 ,$50.29 ,$0.00 ,$50.29 ,$50.29 
0171 - 3,RMCHARL,10/26/2021,10/21/2021,5:10:00 PM,UNBRANDED,209555,10.055,$3.20 ,$32.17 ,$0.00 ,$32.17 ,$32.17 
0327 - 1,WHHRCHMN,10/25/2021,10/21/2021,11:52:00 AM,EXXONMOB,605157,12.299,$3.50 ,$43.03 ,$0.00 ,$43.03 ,$43.03 
0116 - 1,WHHRCHMN,10/25/2021,10/21/2021,1:55:00 PM,BP,608591,9.388,$3.20 ,$30.03 ,$0.00 ,$30.03 ,$30.03 
0117 - 1,WHHFARM,10/25/2021,10/21/2021,3:24:00 PM,EXXONMOB,990495,12.967,$3.30 ,$42.78 ,$0.00 ,$42.78 ,$42.78 
0138 - 1,CMTWATER,10/25/2021,10/21/2021,7:40:13 AM,CIRCLE K,801911,15.011,$3.34 ,$50.12 ,$0.00 ,$50.12 ,$50.12 
0147 - 2,CMTELLS,10/25/2021,10/21/2021,7:47:00 PM,SHELL,802330,27.46,$3.35 ,$91.99 ,$0.00 ,$91.99 ,$91.99 
0149 - 1,RIVERSID,10/25/2021,10/21/2021,9:17:24 AM,KROGER,105861,12.231,$3.00 ,$36.68 ,($0.37),$36.31 ,$36.68 
0172 - 1,RIVERSID,10/25/2021,10/21/2021,3:34:12 PM,SPEEDWAY,102536,7.861,$3.10 ,$24.36 ,$0.00 ,$24.36 ,$24.36 
0289 - 1,RIVERSID,10/25/2021,10/21/2021,11:54:06 AM,KROGER,102838,26.675,$3.00 ,$80.00 ,$0.00 ,$80.00 ,$80.00 
0325 - 1,RIVERSID,10/25/2021,10/21/2021,8:34:45 AM,KROGER,109718,7.885,$3.00 ,$23.65 ,$0.00 ,$23.65 ,$23.65 
0079 - 1,RIVERSID,10/25/2021,10/21/2021,9:36:26 AM,KROGER,108823,23.58,$3.00 ,$70.72 ,($0.71),$70.01 ,$70.72 
0280 - 1,CMATL,10/25/2021,10/21/2021,10:25:00 AM,EXXONMOB,1445,14.247,$3.16 ,$45.01 ,$0.00 ,$45.01 ,$45.01 
0281 - 1,CMATL,10/25/2021,10/21/2021,4:37:09 PM,MARATHON,7679,20.471,$3.18 ,$65.08 ,$0.00 ,$65.08 ,$65.08 
0146 - 3,CMATL,10/25/2021,10/21/2021,9:41:03 AM,QUIKTRIP,9357,18.678,$3.20 ,$59.75 ,$0.00 ,$59.75 ,$59.75 
0283 - 1,RMCOLUMB,10/25/2021,10/21/2021,6:04:00 PM,BP,206682,15.41,$3.70 ,$57.00 ,$0.00 ,$57.00 ,$57.00 
0283 - 1,RMCOLUMB,10/25/2021,10/21/2021,6:59:00 PM,SHELL,206682,10.42,$3.55 ,$37.00 ,$17.00 ,$54.00 ,$37.00 
0223 - 2,COOLPRES,10/25/2021,10/21/2021,10:11:00 AM,SHELL,110467,8.98,$3.16 ,$28.38 ,$0.00 ,$28.38 ,$28.38 
0224 - 2,COOLPRES,10/25/2021,10/21/2021,10:17:47 AM,MARATHON,119364,8.049,$3.20 ,$25.75 ,$0.00 ,$25.75 ,$25.75 
0227 - 1,COOLPRES,10/25/2021,10/21/2021,9:15:31 AM,MARATHON,113859,19.433,$3.14 ,$61.00 ,$0.00 ,$61.00 ,$61.00 
0287 - 1,MMEJACK,10/22/2021,10/20/2021,2:03:00 PM,EXXONMOB,149889,22.726,$3.30 ,$74.97 ,$0.00 ,$74.97 ,$74.97 
0288 - 1,MMEJACK,10/22/2021,10/20/2021,1:12:00 PM,SHELL,137919,10.42,$3.30 ,$34.40 ,$0.00 ,$34.40 ,$34.40 
0308 - 1,CPOPARAG,10/25/2021,10/20/2021,9:58:17 AM,UNBRANDED,165491,11.066,$3.10 ,$34.29 ,$0.00 ,$34.29 ,$34.29 
0315 - 1,CPOSENAT,10/25/2021,10/20/2021,8:54:26 AM,UNBRANDED,162966,24.456,$3.12 ,$76.28 ,$0.00 ,$76.28 ,$76.28 
0311 - 1,CPOSENAT,10/22/2021,10/20/2021,1:44:00 PM,MURPHY USA,163550,14.341,$3.00 ,$43.01 ,$0.00 ,$43.01 ,$43.01 
0312 - 1,CPOSENAT,10/22/2021,10/20/2021,8:27:29 AM,KUM & GO,162329,10.003,$3.10 ,$31.00 ,$0.00 ,$31.00 ,$31.00 
0176 - 2,BB,10/22/2021,10/20/2021,11:59:23 AM,IRVING,302266,11.434,$3.46 ,$39.55 ,$0.00 ,$39.55 ,$39.55 
0218 - 1,UNASSIGNED,10/22/2021,10/20/2021,10:15:00 AM,SHELL,124466,20.03,$3.78 ,$75.70 ,$0.00 ,$75.70 ,$75.70 
0220 - 1,UNASSIGNED,10/22/2021,10/20/2021,6:04:59 PM,IRVING,308828,13.324,$3.40 ,$45.29 ,$0.00 ,$45.29 ,$45.29 
0298 - 1,UNASSIGNED,10/22/2021,10/20/2021,10:29:00 AM,SPINX,209782,16.802,$3.20 ,$53.75 ,$7.00 ,$60.75 ,$53.75 
0187 - 1,CM,10/25/2021,10/20/2021,11:08:52 AM,QUIKTRIP,6426,11.494,$3.10 ,$35.62 ,$0.00 ,$35.62 ,$35.62 
0178 - 1,CM,10/22/2021,10/20/2021,10:10:00 AM,BRANDED,7112,10.603,$3.10 ,$32.86 ,$0.00 ,$32.86 ,$32.86 
0296 - 1,PA,10/22/2021,10/20/2021,10:08:52 AM,MARATHON,406635,18.778,$2.93 ,$55.00 ,$0.00 ,$55.00 ,$55.00 
0001 - 1,BBPORT,10/22/2021,10/20/2021,9:32:26 AM,IRVING,309846,13.026,$3.50 ,$45.58 ,$0.00 ,$45.58 ,$45.58 
0249 - 1,BBPORT,10/22/2021,10/20/2021,3:43:45 PM,CITGO,302957,11.696,$3.37 ,$39.40 ,$0.00 ,$39.40 ,$39.40 
0192 - 2,RMDUNCAN,10/25/2021,10/20/2021,8:36:00 AM,UNBRANDED,203290,20.462,$3.20 ,$65.46 ,$0.00 ,$65.46 ,$65.46 
0194 - 1,RMDUNCAN,10/25/2021,10/20/2021,10:29:16 AM,QUIKTRIP,207134,19.848,$3.08 ,$61.11 ,$0.00 ,$61.11 ,$61.11 
0246 - 1,RMDUNCAN,10/25/2021,10/20/2021,10:06:26 AM,QUIKTRIP,201502,22.084,$3.08 ,$68.00 ,$0.00 ,$68.00 ,$68.00 
0263 - 1,RMDUNCAN,10/25/2021,10/20/2021,10:46:44 AM,QUIKTRIP,203632,13.965,$3.08 ,$43.00 ,$0.00 ,$43.00 ,$43.00 
0104 - 1,RMDUNCAN,10/25/2021,10/20/2021,6:00:30 PM,QUIKTRIP,209493,11.338,$3.00 ,$34.00 ,$0.00 ,$34.00 ,$34.00 
0194 - 1,RMDUNCAN,10/22/2021,10/20/2021,6:52:00 PM,SHELL,207134,16.29,$3.14 ,$51.16 ,$0.00 ,$51.16 ,$51.16 
0018 - 2,CMSAV,10/22/2021,10/20/2021,8:09:00 AM,SUNOCO,203920,7.998,$3.22 ,$25.75 ,$0.00 ,$25.75 ,$25.75 
0183 - 2,CMGAINS,10/22/2021,10/20/2021,1:57:00 PM,SHELL,7679,20.69,$3.20 ,$66.19 ,$0.00 ,$66.19 ,$66.19 
0040 - 2,CMATHENS,10/25/2021,10/20/2021,2:32:00 PM,EXXONMOB,3556,13.405,$3.30 ,$44.22 ,$0.00 ,$44.22 ,$44.22 
0046 - 2,CMATHENS,10/22/2021,10/20/2021,5:59:37 PM,UNBRANDED,204736,13.261,$3.06 ,$40.57 ,$0.00 ,$40.57 ,$40.57 
0181 - 1,CMATHENS,10/22/2021,10/20/2021,2:26:35 PM,CHVRNWF,7088,16.347,$3.55 ,$58.02 ,$0.00 ,$58.02 ,$58.02 
0241 - 1,CMATHENS,10/22/2021,10/20/2021,6:01:00 PM,BP,2178,21.893,$3.19 ,$69.82 ,$0.00 ,$69.82 ,$69.82 
0260 - 1,CMATHENS,10/22/2021,10/20/2021,11:01:00 AM,SHELL,8239,9.95,$3.20 ,$31.86 ,$0.00 ,$31.86 ,$31.86 
0129 - 1,LOPADU,10/22/2021,10/20/2021,10:19:52 AM,MARATHON,403464,15.469,$2.98 ,$46.08 ,$0.00 ,$46.08 ,$46.08 
0264 - 1,LOPADU,10/22/2021,10/20/2021,3:52:00 PM,HUCKS,402539,10.325,$3.10 ,$32.00 ,$0.00 ,$32.00 ,$32.00 
0290 - 1,LOPADU,10/22/2021,10/20/2021,10:25:00 AM,EXXONMOB,403213,21.429,$2.95 ,$63.19 ,$0.00 ,$63.19 ,$63.19 
0049 - 2,LOMURR,10/22/2021,10/20/2021,9:45:50 AM,MARATHON,406152,6.309,$3.10 ,$19.55 ,$0.00 ,$19.55 ,$19.55 
0050 - 1,LOMURR,10/22/2021,10/20/2021,4:21:00 PM,MURPHY USA,403236,10.695,$3.05 ,$32.61 ,$0.00 ,$32.61 ,$32.61 
0164 - 1,PAWILDER,10/25/2021,10/20/2021,3:41:50 PM,UNBRANDED,502143,22.274,$3.03 ,$67.47 ,$0.00 ,$67.47 ,$67.47 
0088 - 2,PAWILDER,10/25/2021,10/20/2021,10:42:17 AM,QUIKTRIP,201275,11.14,$3.10 ,$34.52 ,$0.00 ,$34.52 ,$34.52 
0066 - 1,PAWILDER,10/22/2021,10/20/2021,2:23:00 PM,SHELL,502331,13.11,$3.30 ,$43.27 ,$0.00 ,$43.27 ,$43.27 
0095 - 1,PAWILDER,10/22/2021,10/20/2021,10:24:00 AM,SHELL,508048,11.23,$3.16 ,$35.49 ,$0.00 ,$35.49 ,$35.49 
0151 - 1,PAWILDER,10/22/2021,10/20/2021,7:58:29 AM,SPEEDWAY,508993,4.888,$2.77 ,$13.52 ,$8.15 ,$21.67 ,$13.52 
0151 - 1,PAWILDER,10/22/2021,10/20/2021,12:53:00 PM,BP,508993,11.886,$3.16 ,$37.55 ,$0.00 ,$37.55 ,$37.55 
0167 - 3,PAWILDER,10/22/2021,10/20/2021,10:24:00 AM,SHELL,506798,7.96,$3.09 ,$24.60 ,$0.00 ,$24.60 ,$24.60 
0190 - 1,PAWILDER,10/22/2021,10/20/2021,1:00:00 PM,BP,503946,14.544,$3.12 ,$45.36 ,$0.00 ,$45.36 ,$45.36 
0293 - 1,PAWILDER,10/22/2021,10/20/2021,5:19:00 PM,SUNOCO,504253,17.539,$3.10 ,$54.35 ,$0.00 ,$54.35 ,$54.35 
0300 - 1,PAWILDER,10/22/2021,10/20/2021,10:38:28 AM,PILOT,701682,13.486,$3.20 ,$43.14 ,$0.00 ,$43.14 ,$43.14 
0069 - 1,PAINDY,10/22/2021,10/20/2021,4:00:21 PM,MARATHON,501580,22.305,$2.93 ,$65.33 ,$0.00 ,$65.33 ,$65.33 
0214 - 4,PALEX,10/25/2021,10/20/2021,5:05:55 PM,THORNTON OIL,501864,12.121,$3.26 ,$39.50 ,$0.00 ,$39.50 ,$39.50 
0074 - 1,PALEX,10/22/2021,10/20/2021,11:09:19 AM,SPEEDWAY,507824,23.331,$3.13 ,$73.00 ,$0.00 ,$73.00 ,$73.00 
0317 - 1,PALEX,10/22/2021,10/20/2021,7:22:32 PM,SPEEDWAY,509464,11.305,$2.92 ,$33.00 ,$0.00 ,$33.00 ,$33.00 
0284 - 1,RMMYRTLE,10/22/2021,10/20/2021,1:53:00 PM,MURPHY USA,201791,22.007,$3.03 ,$66.66 ,$0.00 ,$66.66 ,$66.66 
0193 - 2,RMCHARL,10/22/2021,10/20/2021,2:40:00 PM,BP,203757,23.245,$3.20 ,$74.36 ,$0.00 ,$74.36 ,$74.36 
0116 - 1,WHHRCHMN,10/22/2021,10/20/2021,1:09:00 PM,SHELL,608591,8.43,$3.20 ,$27.00 ,$0.00 ,$27.00 ,$27.00 
0118 - 2,WHHRCHMN,10/22/2021,10/20/2021,11:44:00 AM,MANAGER,990495,11.261,$3.19 ,$35.91 ,$0.00 ,$35.91 ,$35.91 
0138 - 1,CMTWATER,10/22/2021,10/20/2021,8:53:46 AM,CIRCLE K,801911,17.765,$3.35 ,$59.49 ,$0.00 ,$59.49 ,$59.49 
0233 - 1,CMTELLS,10/22/2021,10/20/2021,9:17:00 AM,SHELL,802357,23.22,$3.36 ,$78.00 ,$0.00 ,$78.00 ,$78.00 
0150 - 1,RIVERSID,10/22/2021,10/20/2021,7:19:00 PM,SHELL,106861,11.77,$3.10 ,$36.48 ,$0.00 ,$36.48 ,$36.48 
0172 - 1,RIVERSID,10/22/2021,10/20/2021,10:52:24 AM,SPEEDWAY,102536,7.191,$3.10 ,$22.28 ,$0.00 ,$22.28 ,$22.28 
0172 - 1,RIVERSID,10/22/2021,10/20/2021,8:41:40 PM,CHVRNWF,102536,9.132,$3.20 ,$29.21 ,$0.00 ,$29.21 ,$29.21 
0145 - 2,CMATL,10/25/2021,10/20/2021,10:30:56 AM,QUIKTRIP,1731,17.589,$3.10 ,$54.51 ,$0.00 ,$54.51 ,$54.51 
0146 - 3,CMATL,10/25/2021,10/20/2021,11:03:01 AM,QUIKTRIP,9357,9.939,$3.10 ,$30.80 ,$0.00 ,$30.80 ,$30.80 
0064 - 2,CMATL,10/22/2021,10/20/2021,3:14:00 PM,RACETRAC,9649,13.147,$3.20 ,$42.06 ,$0.00 ,$42.06 ,$42.06 
0280 - 1,CMATL,10/22/2021,10/20/2021,12:49:00 PM,EXXONMOB,1445,11.463,$3.10 ,$35.52 ,$0.00 ,$35.52 ,$35.52 
0281 - 1,CMATL,10/22/2021,10/20/2021,1:22:00 PM,SHELL,7679,19.68,$3.26 ,$64.16 ,$0.00 ,$64.16 ,$64.16 
0283 - 1,RMCOLUMB,10/22/2021,10/20/2021,4:26:00 PM,SHELL,206682,22.51,$3.51 ,$79.01 ,$0.00 ,$79.01 ,$79.01 
0211 - 1,COOLLOUI,10/22/2021,10/20/2021,1:04:20 PM,CIRCLE K,206597,9.506,$3.06 ,$29.08 ,$0.00 ,$29.08 ,$29.08 
0213 - 2,COOLNORT,10/22/2021,10/20/2021,10:12:00 AM,DIAMOND,118328,20.375,$3.20 ,$65.18 ,$0.00 ,$65.18 ,$65.18 
0267 - 1,MMEJACKS,10/25/2021,10/20/2021,1:26:00 PM,EXXONMOB,147657,17.305,$3.29 ,$56.92 ,$0.00 ,$56.92 ,$56.92 
0268 - 1,MMEJACKS,10/22/2021,10/20/2021,10:52:07 AM,GATE,147034,12.383,$3.30 ,$40.85 ,$0.00 ,$40.85 ,$40.85 
0268 - 1,MMEJACKS,10/22/2021,10/20/2021,6:30:20 PM,GATE,147034,8.341,$3.30 ,$27.52 ,$0.00 ,$27.52 ,$27.52 
0269 - 1,MMEJACKS,10/22/2021,10/20/2021,10:00:00 AM,SHELL,29057,12.19,$3.30 ,$40.23 ,$8.60 ,$48.83 ,$40.23 
0273 - 1,MMEJACKS,10/22/2021,10/20/2021,2:26:17 PM, ,145531,22.727,$3.30 ,$74.98 ,$0.00 ,$74.98 ,$74.98 
0274 - 1,MMEJACK,10/22/2021,10/20/2021,9:20:04 AM,SPEEDWAY,142129,18.305,$3.60 ,$65.88 ,$0.00 ,$65.88 ,$65.88 
0176 - 2,BB,10/21/2021,10/19/2021,11:57:00 AM,SUNOCO,302266,13.811,$3.34 ,$46.11 ,$0.00 ,$46.11 ,$46.11 
0315 - 1,CPOSENAT,10/22/2021,10/19/2021,8:59:09 AM,UNBRANDED,162966,12.491,$3.12 ,$38.96 ,$0.00 ,$38.96 ,$38.96 
0001 - 1,BBPORT,10/21/2021,10/19/2021,12:49:02 PM,CITGO,309846,10.298,$3.40 ,$35.00 ,$0.00 ,$35.00 ,$35.00 
0011 - 1,BBPORT,10/21/2021,10/19/2021,2:43:00 PM,UNBRANDED,304274,13.434,$3.40 ,$45.66 ,$0.00 ,$45.66 ,$45.66 
0014 - 1,BBPORT,10/21/2021,10/19/2021,10:05:00 AM,SHELL,309442,20.37,$3.40 ,$69.26 ,$12.97 ,$82.23 ,$69.26 
0194 - 1,RMDUNCAN,10/22/2021,10/19/2021,10:00:45 AM,QUIKTRIP,207134,17.984,$3.08 ,$55.37 ,$0.00 ,$55.37 ,$55.37 
0263 - 1,RMDUNCAN,10/22/2021,10/19/2021,10:10:03 AM,QUIKTRIP,203632,18.513,$3.08 ,$57.00 ,$0.00 ,$57.00 ,$57.00 
0163 - 1,CMSAV,10/21/2021,10/19/2021,2:49:00 PM,BP,204425,21.85,$3.80 ,$83.01 ,$0.00 ,$83.01 ,$83.01 
0237 - 2,CMGAINS,10/21/2021,10/19/2021,2:02:36 PM,CHVRNWF,4976,9.38,$3.20 ,$30.01 ,$0.00 ,$30.01 ,$30.01 
0262 - 1,CMGAINS,10/21/2021,10/19/2021,2:47:00 PM,BP,7381,22.836,$3.10 ,$70.77 ,$0.00 ,$70.77 ,$70.77 
0035 - 1,CMATHENS,10/21/2021,10/19/2021,5:51:00 PM,SUNOCO,8121,6.224,$3.17 ,$19.72 ,$0.00 ,$19.72 ,$19.72 
0181 - 1,CMATHENS,10/21/2021,10/19/2021,12:56:06 PM,CHVRNWF,7088,18.585,$3.49 ,$64.84 ,$0.00 ,$64.84 ,$64.84 
0241 - 1,CMATHENS,10/21/2021,10/19/2021,12:34:00 PM,BP,2178,17.932,$3.16 ,$56.65 ,$0.00 ,$56.65 ,$56.65 
0051 - 1,LOPADU,10/21/2021,10/19/2021,12:43:34 PM,MARATHON,403441,25.613,$3.06 ,$78.35 ,$0.00 ,$78.35 ,$78.35 
0053 - 1,LOPADU,10/21/2021,10/19/2021,1:50:22 PM,MARATHON,406333,9.207,$2.91 ,$26.78 ,$0.00 ,$26.78 ,$26.78 
0055 - 1,LOPADU,10/21/2021,10/19/2021,9:48:47 AM,MARATHON,408156,9.154,$3.12 ,$28.55 ,$0.00 ,$28.55 ,$28.55 
0130 - 1,LOPADU,10/21/2021,10/19/2021,8:40:40 AM,MARATHON,406005,17.665,$3.06 ,$54.04 ,$0.00 ,$54.04 ,$54.04 
0258 - 2,LOPADU,10/21/2021,10/19/2021,6:47:00 PM,MURPHY USA,403215,11.386,$2.90 ,$33.01 ,$0.00 ,$33.01 ,$33.01 
0049 - 2,LOMURR,10/21/2021,10/19/2021,9:51:00 AM,HUCKS,406152,8.676,$3.10 ,$26.89 ,$0.00 ,$26.89 ,$26.89 
0050 - 1,LOMURR,10/21/2021,10/19/2021,3:19:52 PM,MARATHON,403236,9.639,$2.93 ,$28.23 ,$0.00 ,$28.23 ,$28.23 
0094 - 1,PAWILDER,10/21/2021,10/19/2021,3:23:16 PM,SPEEDWAY,508892,11.407,$3.03 ,$34.55 ,$0.00 ,$34.55 ,$34.55 
0061 - 1,PAWILDER,10/21/2021,10/19/2021,9:00:54 AM,MARATHON,507106,17.233,$3.00 ,$51.68 ,$0.00 ,$51.68 ,$51.68 
0191 - 1,PAWILDER,10/21/2021,10/19/2021,10:42:53 AM,SPEEDWAY,507519,10.421,$3.03 ,$31.57 ,$0.00 ,$31.57 ,$31.57 
0190 - 1,PAWILDER,10/22/2021,10/19/2021,10:20:53 AM,UNBRANDED,503946,15.493,$3.03 ,$46.93 ,$0.00 ,$46.93 ,$46.93 
0168 - 1,PAINDY,10/21/2021,10/19/2021,5:02:00 PM,SHELL,501627,21.45,$3.32 ,$71.21 ,$0.00 ,$71.21 ,$71.21 
0169 - 1,PAINDY,10/21/2021,10/19/2021,9:45:32 AM,PHILL 66,501674,25.641,$3.35 ,$85.87 ,$0.00 ,$85.87 ,$85.87 
0317 - 1,PALEX,10/21/2021,10/19/2021,2:22:00 PM,SHELL,509464,6.35,$3.20 ,$20.32 ,($0.32),$20.00 ,$20.32 
0317 - 1,PALEX,10/21/2021,10/19/2021,7:49:00 AM,SHELL,509464,12.5,$3.25 ,$40.63 ,($0.63),$40.00 ,$40.63 
0165 - 1,RMBEAU,10/21/2021,10/19/2021,1:28:44 PM,UNBRANDED,205315,20.038,$3.20 ,$64.10 ,$0.00 ,$64.10 ,$64.10 
0244 - 1,RMBEAU,10/21/2021,10/19/2021,4:52:00 PM,SHELL,209561,23.83,$3.40 ,$81.00 ,$0.00 ,$81.00 ,$81.00 
0171 - 3,RMCHARL,10/21/2021,10/19/2021,7:40:00 AM,SPINX,209555,8.654,$3.10 ,$26.82 ,$0.00 ,$26.82 ,$26.82 
0193 - 2,RMCHARL,10/21/2021,10/19/2021,12:38:00 PM,SHELL,203757,19.58,$3.05 ,$59.70 ,$0.00 ,$59.70 ,$59.70 
0112 - 1,WHHRCHMN,10/21/2021,10/19/2021,7:13:00 AM,DIAMOND,602259,12.929,$3.20 ,$41.36 ,$0.00 ,$41.36 ,$41.36 
0117 - 1,WHHFARM,10/21/2021,10/19/2021,1:04:00 PM,DIAMOND,603252,10.306,$3.20 ,$32.97 ,$0.00 ,$32.97 ,$32.97 
0150 - 1,RIVERSID,10/21/2021,10/19/2021,12:41:00 PM,SHELL,106861,10.29,$3.10 ,$31.89 ,$0.00 ,$31.89 ,$31.89 
0172 - 1,RIVERSID,10/21/2021,10/19/2021,3:31:16 PM,SPEEDWAY,102536,8.135,$3.10 ,$25.21 ,$0.00 ,$25.21 ,$25.21 
0064 - 2,CMATL,10/21/2021,10/19/2021,8:34:00 AM,CHVRNWF,9649,12.398,$3.20 ,$39.66 ,$0.00 ,$39.66 ,$39.66 
0280 - 1,CMATL,10/21/2021,10/19/2021,11:17:00 AM,EXXONMOB,1445,11.831,$3.10 ,$36.66 ,$0.00 ,$36.66 ,$36.66 
0281 - 1,CMATL,10/21/2021,10/19/2021,8:47:06 AM,CHVRNWF,7679,20.058,$3.10 ,$62.16 ,$0.00 ,$62.16 ,$62.16 
0145 - 2,CMATL,10/22/2021,10/19/2021,10:26:29 AM,QUIKTRIP,1731,22.044,$3.10 ,$68.31 ,$0.00 ,$68.31 ,$68.31 
0283 - 1,RMCOLUMB,10/21/2021,10/19/2021,2:13:00 PM,SHELL,206682,23.06,$3.60 ,$83.00 ,$0.00 ,$83.00 ,$83.00 
0283 - 1,RMCOLUMB,10/21/2021,10/19/2021,6:24:00 PM,SHELL,206682,11.94,$3.35 ,$40.00 ,$17.00 ,$57.00 ,$40.00 
0223 - 2,COOLPRES,10/21/2021,10/19/2021,2:22:00 PM,SHELL,110467,8.81,$3.16 ,$27.84 ,$0.00 ,$27.84 ,$27.84 
0224 - 2,COOLPRES,10/21/2021,10/19/2021,11:14:00 AM,BP,110360,8.92,$3.14 ,$28.00 ,$0.00 ,$28.00 ,$28.00 
0227 - 1,COOLPRES,10/21/2021,10/19/2021,7:35:00 PM,UNBRANDED,113859,22.194,$3.11 ,$69.00 ,$0.00 ,$69.00 ,$69.00 
0209 - 1,COOLPIKE,10/21/2021,10/19/2021,2:59:00 PM,SHELL,116605,10.94,$3.16 ,$34.58 ,$0.00 ,$34.58 ,$34.58 
0228 - 1,COOLPIKE,10/21/2021,10/19/2021,3:06:00 PM,EXXONMOB,118215,20.828,$3.11 ,$64.75 ,$0.00 ,$64.75 ,$64.75 
0236 - 1,COOLPIKE,10/21/2021,10/19/2021,2:53:00 PM,BP,122210,11.215,$3.11 ,$34.87 ,$0.00 ,$34.87 ,$34.87 
0204 - 1,COOLHAZA,10/21/2021,10/19/2021,10:58:00 AM,BP,117771,19.788,$3.15 ,$62.31 ,$0.00 ,$62.31 ,$62.31 
0226 - 1,COOLHAZA,10/21/2021,10/19/2021,11:29:00 AM,SHELL,118847,18.67,$3.16 ,$59.00 ,$0.00 ,$59.00 ,$59.00 
0232 - 1,COOLLEXI,10/21/2021,10/19/2021,3:16:00 PM,EXXONMOB,118137,18.293,$3.11 ,$56.87 ,$0.00 ,$56.87 ,$56.87 
0232 - 1,COOLLEXI,10/21/2021,10/19/2021,11:12:00 AM,BP,118137,2.277,$3.11 ,$7.08 ,$0.00 ,$7.08 ,$7.08 
0229 - 1,COOLLOUI,10/21/2021,10/19/2021,2:50:00 PM,BP,119344,6.933,$3.03 ,$21.00 ,$0.00 ,$21.00 ,$21.00 
0238 - 1,AMSFAIR,10/21/2021,10/19/2021,9:59:00 AM,SHELL,124466,20.83,$3.43 ,$71.45 ,$0.00 ,$71.45 ,$71.45 
0265 - 1,SWCOLUMB,10/21/2021,10/19/2021,7:51:12 AM,MARATHON,135899,13.81,$3.26 ,$45.01 ,$0.00 ,$45.01 ,$45.01 
0266 - 2,MMEJACKS,10/21/2021,10/19/2021,11:46:00 AM,BP,143795,9.446,$3.60 ,$34.00 ,$0.00 ,$34.00 ,$34.00 
0271 - 1,MMEJACKS,10/21/2021,10/19/2021,8:16:00 AM,EXXONMOB,149260,9.369,$3.30 ,$30.91 ,$0.00 ,$30.91 ,$30.91 
0272 - 1,MMEJACKS,10/21/2021,10/19/2021,4:58:00 PM,SHELL,145665,23.5,$3.30 ,$77.54 ,$0.00 ,$77.54 ,$77.54 
0273 - 1,MMEJACKS,10/21/2021,10/19/2021,10:13:02 AM,GATE,145531,22.589,$3.30 ,$74.52 ,$0.00 ,$74.52 ,$74.52 
0302 - 1,MSPCORIN,10/21/2021,10/19/2021,9:16:00 AM,SHELL,158638,11.66,$3.00 ,$35.00 ,$0.00 ,$35.00 ,$35.00 
0303 - 1,MSPCORIN,10/21/2021,10/19/2021,2:38:29 PM,KROGER,159908,23.927,$2.99 ,$71.52 ,$0.00 ,$71.52 ,$71.52 
0278 - 1,MSPNEWAL,10/21/2021,10/19/2021,9:46:00 AM,SHELL,156272,11.2,$3.10 ,$34.72 ,$0.00 ,$34.72 ,$34.72 
0314 - 1,CPOSENAT,10/22/2021,10/19/2021,10:45:54 AM,UNBRANDED,169554,18.393,$3.10 ,$57.00 ,$0.00 ,$57.00 ,$57.00 
0174 - 2,LO,10/21/2021,10/19/2021,10:54:13 AM,MARATHON,403564,8.227,$3.06 ,$25.17 ,$0.00 ,$25.17 ,$25.17 
0302 - 1,MSPCORIN,10/20/2021,10/18/2021,9:49:00 AM,EXXONMOB,158638,13.204,$3.00 ,$39.60 ,$0.00 ,$39.60 ,$39.60 
0304 - 1,MSPNEWAL,10/20/2021,10/18/2021,12:13:00 PM,SHELL,150948,21.51,$3.00 ,$64.53 ,$0.00 ,$64.53 ,$64.53 
0306 - 1,CPOPARAG,10/21/2021,10/18/2021,3:57:55 PM,UNBRANDED,163379,10.263,$3.00 ,$30.78 ,$0.00 ,$30.78 ,$30.78 
0308 - 1,CPOPARAG,10/21/2021,10/18/2021,2:02:21 PM,UNBRANDED,165491,8.71,$3.00 ,$26.12 ,$0.00 ,$26.12 ,$26.12 
0312 - 1,CPOSENAT,10/20/2021,10/18/2021,8:32:29 AM,KUM & GO,162329,9.868,$2.94 ,$29.00 ,$0.00 ,$29.00 ,$29.00 
0312 - 1,CPOSENAT,10/20/2021,10/18/2021,6:52:33 PM,KUM & GO,162329,8.39,$3.10 ,$26.00 ,$0.00 ,$26.00 ,$26.00 
0315 - 1,CPOSENAT,10/21/2021,10/18/2021,9:10:26 AM,UNBRANDED,162966,8.34,$3.12 ,$26.01 ,$0.00 ,$26.01 ,$26.01 
0217 - 1,UNASSIGNED,10/20/2021,10/18/2021,9:01:00 AM,SHELL,121392,20.18,$3.47 ,$70.00 ,$0.00 ,$70.00 ,$70.00 
